hotel,cleanliness,safety,accessibility,natural_beauty,accomodations,recreational_activity,weighted_rating,review
antulangbeach,90.4,120.45,61.15,73.2,71.9,33.6,4.51,"Very friendly, respectful and accomodating staff.  I'll surely go back."
antulangbeach,67.8,72.27,36.69,54.9,43.14,25.2,3.0,I don’t like the pasta that they serve. “Dugmok”..  they did not even replace it.
antulangbeach,90.4,96.36,61.15,54.9,57.52,42.0,4.02,nice place with a large pool for children and adults.
antulangbeach,113.0,120.45,48.92,91.5,57.52,42.0,4.73,..it so amazing...mesmerizing..nature beauty..so relaxing
antulangbeach,90.4,72.27,61.15,73.2,57.52,25.2,3.8,"Great place, near my home in the phillipines. I love it."
antulangbeach,90.4,96.36,36.69,91.5,57.52,25.2,3.98,nice resort..and etc...
antulangbeach,113.0,96.36,48.92,91.5,57.52,42.0,4.49,Antulang Beach is the place to go when i visit my home town! My sister recommended this breathtaking place for me to relax and enjoy this vacation.
antulangbeach,90.4,72.27,36.69,91.5,43.14,33.6,3.68,"Very beautiful place to relax, enjoy and commune with nature"
antulangbeach,90.4,72.27,61.15,73.2,57.52,42.0,3.96,"very resort,,"
antulangbeach,90.4,72.27,61.15,73.2,57.52,25.2,3.8,nice place
balucanbeachresort,67.8,96.36,24.46,18.3,43.14,16.8,2.67,we only want to know how much rate per room.
BenuelsBeach,90.4,96.36,61.15,91.5,43.14,33.6,4.16,the view and the place itself will just leave you in awe🧡
BenuelsBeach,90.4,96.36,61.15,91.5,43.14,33.6,4.16,"mas ok na ang access road going to the beach, so it a good sign. And the beach itself is good and the ambiance is relaxing"
BarcelonaSpringFarm,90.4,96.36,61.15,91.5,43.14,33.6,4.16,good and nice place to refresh!
BarcelonaSpringFarm,90.4,120.45,48.92,73.2,43.14,42.0,4.18,...highly recommended for family outing..   and barkadahan for relaxation with their live band'
BarcelonaSpringFarm,90.4,120.45,48.92,91.5,71.9,42.0,4.65,"I loved it very nice place d pool also !!!you can make your family play here very wide and acomodating very relaxing place,kung mahilig ka sa sabong daghang sunoy dri kapilian je je je..."
BarcelonaSpringFarm,90.4,96.36,61.15,73.2,43.14,33.6,3.98,Nice place... and it's a cool for family bonding.
BarcelonaSpringFarm,90.4,96.36,36.69,91.5,57.52,42.0,4.14,A must-visit resort! Nice n cool place to spend with your family n friends!
BarcelonaSpringFarm,90.4,72.27,48.92,91.5,43.14,42.0,3.88,Nice to look around with all the green.I will expect more after two years.So much fun when we are there together with our classmates in High School.
