facebookId,pageName,text
100077980874293,alintanaqa,"Thank you very much ma'am Leida for making my most special day of the year the best. Everything was beyond my expectation... from the perfect set-up, great food, nice cake, amenities, etc. It was an amazing birthday experience, no regrets."
100069111910985,azzurabeachresort,"Not good...water heater is not functioning, No TV station...not worth the price. 👎🏽👎🏽👎🏽"
100069111910985,azzurabeachresort,"What a huge disappointment! They don't give complete details about the reservation and payment policy. We made a reservation (for overnight stay) and have already prepared our budget based on the prices they provided but when we arrived at the resort, turned out there are different charges, which we were not informed. We had no choice because it was already late evening and we're already there. Lost all our energy during the overnight stay.. Crazy experience!! Ang mahal mahal ng cottage tapos iba pa presyo pag gabi. Limited lang pa talaga ang access.. daming extra charges for this and that 👎🏻 Hope this won't happen again. (Coz definitely, hindi na kami babalik!!)"
100069111910985,azzurabeachresort,"Based sa naexpirience ko. HINDI accommodating, HINDI hospitable ang mga WORKERS nila. HINDI malinis ang paligid. maraming pupu ng dog.
So disappointed."
100069111910985,azzurabeachresort,"Though they have poor customer service, but still the beach is amazing."
100069111910985,azzurabeachresort,"Me and my friends had the worst experience booking this place. We went there to unwind and enjoy but we get the opposite. Yes, ganun ka worst. Hindi po malinaw yung instructions and policy nila sa payment. Ang daming binabayaran, kapag nag overnight ka and stay over 7am, ibang entrance nanaman. Ang mamahal pa ng cottages. Seriously, 1,600 for a small cottage overnight? Hindi pa nagana lahat ng sockets. Ibang payment pa if you have a tent. Gusto sana naming hindi na matuloy the day we went there kasi sobrang layo ng price nung booking compared sa actual meeting with their rep, kaso sobrang layo na nang binyahe namin. We were so disappointed. Not the best customer service also, pwera na lang kay kuyang guard and one of their picnic area staff. Yun lang, overall the resort was far from being okay. We just had to maximize our payment pero never again."
100069111910985,azzurabeachresort,"DISAPPOINTED : EXPECTATIONS NOT MET!!!
 - Booked 2 new Villas not worth ,its pricy - water from the faucets are very dirty muddy /sandy toilets are filty. 
Customer service needs improvements ."
100069111910985,azzurabeachresort,"The customer service, especially on online bookings, is very poor. We’ve tried booking and inquiring for days and yet, it is still unsuccessful. They don’t even answer the calls or questions we are sending through messages. We had to ask someone to book directly just to make it possible. I hope you can improve on this matter. Even until now, we still have no response, just automated messages."
100069111910985,azzurabeachresort,Poor customer service. Hindi sumasagot sa calls and chats.
100069111910985,azzurabeachresort,Their Staff are so friendly and they are already secured in everything
100069111910985,azzurabeachresort,the staffs are accommodating and the atmosphere is nice
100064329572985,people,"Pag uwi naman galing Danmar, sobrang kati ng katawan namin"
100064329572985,people,"sobrang mahal. sobrang dumi, esp cr"
100064329572985,people,"I didn't go there myself but my friends went and we were on a call together. The resort is not worth going to.
The pools were not well maintained (One pool was green and mossy, and the other was yellow), the beach was not clean, and the same goes for the bathrooms and shower rooms, making the expensive entrance not worth the price and they didn't even get to swim because of how dirty it was. The environment looks nice but it doesn't really make up for it since it's advertised as a beach resort, not a park."
100064329572985,people,Highly recommended resort. really cool ambiance... peaceful place... try to visit dan mar
100064329572985,people,nice and Worth it highly recommended😍🥰
100064329572985,people,"Poor customer service. Bathroom door broken/no lock; A/C not working, TV not working. Expensive, not worth the pay. The management needs to have set standards."
100064329572985,people,I like the view.. the place is so relaxing
100064329572985,people,"Cr so dirty, no soap. Super barado ang cr. Surroundings full of trash."
100064329572985,people,"malumot na yung side ng adult pool and madumi yung water.. kailangan pa namin magreklamo den naglinis na cla. yung bubong ng cottages paayos na din po kasi my mga butas butas na.. add na dn po sila ng shower area and cr na dn po. on d other hand, i think the place is nice and air is fresh. thumb ups also to ur kiddie pool, d kids enjoyed it! cleanliness lang po tlaga and for sure people wil come and flock ur resort.  thanks!"
100064165746516,people,nice place to relax and enjoy with loveones
100064165746516,people,Unexpected day trip in this new resort🤗
